policy_label,policy_name,num_instances,cache_size_tokens_per_instance,request_count,input_tokens,output_tokens,total_tokens,simulated_cached_tokens,token_hit_rate,request_hit_rate,max_mean_req_count,max_mean_token_load,cv_req_count,cv_token_load,jain_req_count,jain_token_load,total_logical_cache_tokens,total_physical_cache_tokens,effective_replication_ratio,effective_cache_size_ratio,elapsed_sec,model,cache_size,load_metric,max_min_token_load,max_min_req_count,max_min_input_tokens,load_imbalance_pct
round_robin,round_robin,10,5000000,4223356,135338664262,1147556664,136486220926,18285205738,0.1351070356553982,0.1989394216353061,1.000000947114096,1.0063849800564066,1.1599731316910903e-06,0.0043534385844676,0.9999999999986544,0.9999810479316792,49566082966,117483370093,2.37023712714172,0.4218987157651625,43.869957447052,minimax_m25,5000000,total_tokens,1.0138953983445418,1.0000023677829974,1.004937291632605,0.6384980056406642
sticky,sticky,10,5000000,4223356,135338664262,1147556664,136486220926,86899758832,0.6420911518956041,0.7440904815980467,8.841625001539061,9.734768977106414,2.6195483557422623,2.91163153905611,0.1271935547969632,0.1055119637770042,49566082966,49566082966,1.0,1.0,44.61184549331665,minimax_m25,5000000,total_tokens,12251.144510546666,5229.879551820728,16934.039057685844,873.4768977106414
cache_first,cache_first,15,1125,4223356,135338664262,1147556664,136486220926,74416883190,0.5498567877538493,0.575334165530919,1.0162664478201695,1.0329073835669127,0.0123203811581408,0.0166034300148988,0.9998482312453694,0.9997244020868886,49566082966,58198234730,1.1741544065509726,0.8516767423608761,96.18623638153076,minimax_m25,1125,total_tokens,1.063466634873212,1.036660519746829,1.0315961817982984,3.2907383566912696
load_first,load_first,15,1125,4223356,135338664262,1147556664,136486220926,7068252416,0.0522264088724614,0.0884940791162288,1.0136488612373666,1.017667410805682,0.0095197238110803,0.0101261638459662,0.9999093830707328,0.9998974713189732,49566082966,119006403401,2.400964455525622,0.416499293731143,68.3555235862732,minimax_m25,1125,total_tokens,1.036308635520069,1.0368302314513755,1.0304567138920429,1.7667410805682016
round_robin,round_robin,15,1125,4223356,135338664262,1147556664,136486220926,6193228225,0.0457609675606863,0.0747973886170145,1.000003314899336,1.012566090814254,8.859441133482333e-07,0.005373845863499,0.9999999999992152,0.999971122614563,49566082966,126495274885,2.5520530837946143,0.3918413791429107,50.1552791595459,minimax_m25,1125,total_tokens,1.022044659818963,1.0000035516660866,1.0061413108576707,1.2566090814253972
sticky,sticky,15,1125,4223356,135338664262,1147556664,136486220926,14842548349,0.1096696825695467,0.1403518907712255,13.262437502308591,14.4729307204329,3.285277504319317,3.601015830203948,0.0847957183100094,0.0715957218211569,49566082966,49566082966,1.0,1.0,51.05902647972107,minimax_m25,1125,total_tokens,189452.464396765,3734134.0,128610504363.0,1347.29307204329
cache_first,cache_first,15,5000,4223356,135338664262,1147556664,136486220926,74504940254,0.5505074300849242,0.5857102740095791,1.019583714941388,1.0204903365603704,0.0103395671289275,0.0118715554166477,0.9998931047793962,0.9998590860315344,49566082966,58138834812,1.1729560080807775,0.8525468927314904,95.28037071228027,minimax_m25,5000,total_tokens,1.0461325695922374,1.0335513927842364,1.0327561494846453,2.049033656037036
load_first,load_first,15,5000,4223356,135338664262,1147556664,136486220926,7093334743,0.0524117389637312,0.092746858185765,1.0136488612373666,1.017683679591968,0.0095197238110803,0.0101194490259845,0.9999093830707328,0.999897607236762,49566082966,119006403401,2.400964455525622,0.416499293731143,67.62091088294983,minimax_m25,5000,total_tokens,1.036281118315694,1.0368302314513755,1.0304567138920429,1.7683679591967927
round_robin,round_robin,15,5000,4223356,135338664262,1147556664,136486220926,6200091593,0.0458116801049354,0.075935109424827,1.000003314899336,1.012570609186325,8.859441133482333e-07,0.0053755787295119,0.9999999999992152,0.9999711039883264,49566082966,126495274885,2.5520530837946143,0.3918413791429107,49.82201170921326,minimax_m25,5000,total_tokens,1.0220452599582606,1.0000035516660866,1.0061413108576707,1.257060918632491
sticky,sticky,15,5000,4223356,135338664262,1147556664,136486220926,14872074379,0.1098878466112934,0.1458257366890217,13.262437502308591,14.47330759719094,3.285277504319317,3.6011163012078957,0.0847957183100094,0.0715920128498665,49566082966,49566082966,1.0,1.0,50.08665919303894,minimax_m25,5000,total_tokens,189410.75918763448,3734134.0,128610504363.0,1347.330759719094
