minimax_m25.oracleGeneral Sieve cache size     6163KiB, 4223356 req, miss ratio 0.2653, byte miss ratio 0.0565
minimax_m25.oracleGeneral Sieve cache size    12326KiB, 4223356 req, miss ratio 0.2624, byte miss ratio 0.0532
minimax_m25.oracleGeneral Sieve cache size    30815KiB, 4223356 req, miss ratio 0.2602, byte miss ratio 0.0508
minimax_m25.oracleGeneral Sieve cache size    61631KiB, 4223356 req, miss ratio 0.2590, byte miss ratio 0.0496
minimax_m25.oracleGeneral BeladySize cache size       61KiB, 4223356 req, miss ratio 0.5529, byte miss ratio 0.6328
minimax_m25.oracleGeneral BeladySize cache size      123KiB, 4223356 req, miss ratio 0.4277, byte miss ratio 0.4004
minimax_m25.oracleGeneral BeladySize cache size      308KiB, 4223356 req, miss ratio 0.2725, byte miss ratio 0.0771
minimax_m25.oracleGeneral BeladySize cache size      616KiB, 4223356 req, miss ratio 0.2586, byte miss ratio 0.0516
minimax_m25.oracleGeneral BeladySize cache size     1232KiB, 4223356 req, miss ratio 0.2564, byte miss ratio 0.0479
minimax_m25.oracleGeneral BeladySize cache size     3081KiB, 4223356 req, miss ratio 0.2557, byte miss ratio 0.0467
minimax_m25.oracleGeneral BeladySize cache size     6163KiB, 4223356 req, miss ratio 0.2557, byte miss ratio 0.0466
minimax_m25.oracleGeneral BeladySize cache size    12326KiB, 4223356 req, miss ratio 0.2557, byte miss ratio 0.0466
minimax_m25.oracleGeneral BeladySize cache size    30815KiB, 4223356 req, miss ratio 0.2557, byte miss ratio 0.0466
minimax_m25.oracleGeneral BeladySize cache size    61631KiB, 4223356 req, miss ratio 0.2557, byte miss ratio 0.0466
deepseek_v32.oracleGeneral FIFO cache size      205KiB, 7197399 req, miss ratio 0.7646, byte miss ratio 0.8692
deepseek_v32.oracleGeneral FIFO cache size      411KiB, 7197399 req, miss ratio 0.6981, byte miss ratio 0.8203
deepseek_v32.oracleGeneral FIFO cache size     1029KiB, 7197399 req, miss ratio 0.6389, byte miss ratio 0.7595
deepseek_v32.oracleGeneral FIFO cache size     2059KiB, 7197399 req, miss ratio 0.6137, byte miss ratio 0.7200
deepseek_v32.oracleGeneral FIFO cache size     4119KiB, 7197399 req, miss ratio 0.5886, byte miss ratio 0.6773
deepseek_v32.oracleGeneral FIFO cache size    10299KiB, 7197399 req, miss ratio 0.5392, byte miss ratio 0.5991
deepseek_v32.oracleGeneral FIFO cache size    20599KiB, 7197399 req, miss ratio 0.4865, byte miss ratio 0.5103
deepseek_v32.oracleGeneral FIFO cache size    41199KiB, 7197399 req, miss ratio 0.4318, byte miss ratio 0.4142
deepseek_v32.oracleGeneral FIFO cache size   102999KiB, 7197399 req, miss ratio 0.3827, byte miss ratio 0.3237
deepseek_v32.oracleGeneral FIFO cache size   205999KiB, 7197399 req, miss ratio 0.3651, byte miss ratio 0.2906
deepseek_v32.oracleGeneral LRU cache size      205KiB, 7197399 req, miss ratio 0.7398, byte miss ratio 0.8453
deepseek_v32.oracleGeneral LRU cache size      411KiB, 7197399 req, miss ratio 0.6688, byte miss ratio 0.7845
deepseek_v32.oracleGeneral LRU cache size     1029KiB, 7197399 req, miss ratio 0.6269, byte miss ratio 0.7372
deepseek_v32.oracleGeneral LRU cache size     2059KiB, 7197399 req, miss ratio 0.6087, byte miss ratio 0.7077
deepseek_v32.oracleGeneral LRU cache size     4119KiB, 7197399 req, miss ratio 0.5839, byte miss ratio 0.6647
deepseek_v32.oracleGeneral LRU cache size    10299KiB, 7197399 req, miss ratio 0.5308, byte miss ratio 0.5831
deepseek_v32.oracleGeneral LRU cache size    20599KiB, 7197399 req, miss ratio 0.4712, byte miss ratio 0.4829
deepseek_v32.oracleGeneral LRU cache size    41199KiB, 7197399 req, miss ratio 0.4106, byte miss ratio 0.3722
deepseek_v32.oracleGeneral LRU cache size   102999KiB, 7197399 req, miss ratio 0.3723, byte miss ratio 0.3038
deepseek_v32.oracleGeneral LRU cache size   205999KiB, 7197399 req, miss ratio 0.3591, byte miss ratio 0.2775
deepseek_v32.oracleGeneral ARC cache size      205KiB, 7197399 req, miss ratio 0.8264, byte miss ratio 0.9271
deepseek_v32.oracleGeneral ARC cache size      411KiB, 7197399 req, miss ratio 0.7894, byte miss ratio 0.8853
deepseek_v32.oracleGeneral ARC cache size     1029KiB, 7197399 req, miss ratio 0.7019, byte miss ratio 0.7836
deepseek_v32.oracleGeneral ARC cache size     2059KiB, 7197399 req, miss ratio 0.6536, byte miss ratio 0.7273
deepseek_v32.oracleGeneral ARC cache size     4119KiB, 7197399 req, miss ratio 0.6468, byte miss ratio 0.7133
deepseek_v32.oracleGeneral ARC cache size    10299KiB, 7197399 req, miss ratio 0.5920, byte miss ratio 0.6362
deepseek_v32.oracleGeneral ARC cache size    20599KiB, 7197399 req, miss ratio 0.4913, byte miss ratio 0.4888
deepseek_v32.oracleGeneral ARC cache size    41199KiB, 7197399 req, miss ratio 0.4588, byte miss ratio 0.4241
deepseek_v32.oracleGeneral ARC cache size   102999KiB, 7197399 req, miss ratio 0.4442, byte miss ratio 0.3924
deepseek_v32.oracleGeneral ARC cache size   205999KiB, 7197399 req, miss ratio 0.4399, byte miss ratio 0.3815
deepseek_v32.oracleGeneral LRB-BMR cache size      205KiB, 7197399 req, miss ratio 0.7398, byte miss ratio 0.8453
deepseek_v32.oracleGeneral LRB-BMR cache size      411KiB, 7197399 req, miss ratio 0.6688, byte miss ratio 0.7845
deepseek_v32.oracleGeneral LRB-BMR cache size     1029KiB, 7197399 req, miss ratio 0.6269, byte miss ratio 0.7372
